2023-09-01 17:02:22.472 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:02:22.473 [main] INFO  org.eclipse.jetty.server.Server - Started @806ms
2023-09-01 17:02:47.573 [Thread-0] INFO  org.eclipse.jetty.server.ServerConnector - Stopped ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:02:47.578 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,UNAVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:02:47.578 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,UNAVAILABLE}
2023-09-01 17:02:50.077 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @471ms
2023-09-01 17:02:50.185 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.10.v20150310
2023-09-01 17:02:50.195 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.s.h.ContextHandler@2a8448fa{/cfps-api/upload,null,AVAILABLE}
2023-09-01 17:02:50.388 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /cfps-api, did not find org.eclipse.jetty.jsp.JettyJspServlet
2023-09-01 17:02:50.410 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@14a50707{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,AVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:02:50.441 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@2609b277{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:02:50.442 [main] INFO  org.eclipse.jetty.server.Server - Started @839ms
2023-09-01 17:03:31.134 [Thread-0] INFO  org.eclipse.jetty.server.ServerConnector - Stopped ServerConnector@2609b277{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:03:31.138 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.w.WebAppContext@14a50707{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,UNAVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:03:31.139 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.s.h.ContextHandler@2a8448fa{/cfps-api/upload,null,UNAVAILABLE}
2023-09-01 17:03:32.501 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @421ms
2023-09-01 17:03:32.597 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.10.v20150310
2023-09-01 17:03:32.605 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,AVAILABLE}
2023-09-01 17:03:32.801 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /cfps-api, did not find org.eclipse.jetty.jsp.JettyJspServlet
2023-09-01 17:03:32.826 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,AVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:03:32.860 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:03:32.861 [main] INFO  org.eclipse.jetty.server.Server - Started @783ms
2023-09-01 17:05:43.359 [Thread-0] INFO  org.eclipse.jetty.server.ServerConnector - Stopped ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:05:43.364 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,UNAVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:05:43.365 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,UNAVAILABLE}
2023-09-01 17:05:44.817 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @440ms
2023-09-01 17:05:44.918 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.10.v20150310
2023-09-01 17:05:44.926 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,AVAILABLE}
2023-09-01 17:05:45.131 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /cfps-api, did not find org.eclipse.jetty.jsp.JettyJspServlet
2023-09-01 17:05:45.152 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,AVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:05:45.185 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:05:45.186 [main] INFO  org.eclipse.jetty.server.Server - Started @813ms
2023-09-01 17:06:49.238 [Thread-0] INFO  org.eclipse.jetty.server.ServerConnector - Stopped ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:06:49.242 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,UNAVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:06:49.243 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler - Stopped o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,UNAVAILABLE}
2023-09-01 17:06:50.653 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @407ms
2023-09-01 17:06:50.755 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.10.v20150310
2023-09-01 17:06:50.763 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.s.h.ContextHandler@43f02ef2{/cfps-api/upload,null,AVAILABLE}
2023-09-01 17:06:50.974 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /cfps-api, did not find org.eclipse.jetty.jsp.JettyJspServlet
2023-09-01 17:06:50.994 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@1cb346ea{/cfps-api,file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp/,AVAILABLE}{file:/D:/GitRepository/yuhe/cfps8/cfps-web/src/main/webapp}
2023-09-01 17:06:51.027 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
2023-09-01 17:06:51.027 [main] INFO  org.eclipse.jetty.server.Server - Started @784ms
2023-09-01 17:07:13.577 [Thread-0] INFO  org.eclipse.jetty.server.ServerConnector - Stopped ServerConnector@27adc16e{HTTP/1.1}{0.0.0.0:8800}
